date, tBidSz, tBid, tAsk, tAskSz, fvTurn, trdPrc, trdSz, onBidSz, onAskSz, time, anchor(4), event, turnMove, fvSpot, spotMove, delta, upDelta, sumUpDelta(10), avgUp(10), up(10)from, sumUpDelta(20), avgUp(20), up(20)from, dnDelta, sumDnDelta(10), avgDn(10), dn(10)from, sumDnDelta(20), avgDn(20), dn(20)from, upCnt, totSumUp, totAvgUp, totUpFrom, dnCnt, totSumDn, totAvgDn, totDnFrom, 
20140815, 186, 194600, 194625, 620, 194606,  ,  , 705818, 622810, 14:22:58.0, 194600, up, 1, 14.4054, -1.35588, 1.35588, 1.35588, 6.93017, 0.693017, 12:54:13.0, 15.5258, 0.77629, 12:19:40.0,  , 7.90579, 0.790579, 12:51:9.0, 14.6129, 0.730644, 12:12:58.0, 69, 55.829, 0.809116, 9:28:6.0, 80, 68.3881, 0.854851, 9:40:0.0, 
20140815, 236, 194700, 194725, 888, 194705,  ,  , 706008, 626607, 14:23:54.0, 194700, up, 1, 14.3849, -0.409963, 0.409963, 0.409963, 6.72749, 0.672749, 13:7:18.0, 15.5493, 0.777467, 12:24:3.0,  , 7.90579, 0.790579, 12:51:9.0, 14.6129, 0.730644, 12:12:58.0, 70, 56.239, 0.803414, 9:28:6.0, 80, 68.3881, 0.854851, 9:40:0.0, 
20140815, 213, 194800, 194825, 527, 194807,  ,  , 707054, 631215, 14:25:1.0, 194800, up, 1, 14.3355, -0.988088, 0.988088, 0.988088, 7.37516, 0.737516, 13:8:21.0, 15.0848, 0.754239, 12:24:56.0,  , 7.90579, 0.790579, 12:51:9.0, 14.6129, 0.730644, 12:12:58.0, 71, 57.2271, 0.806015, 9:28:6.0, 80, 68.3881, 0.854851, 9:40:0.0, 
20140815, 299, 194900, 194925, 778, 194907,  ,  , 708943, 638101, 14:26:15.0, 194900, up, 1, 14.3077, -0.557318, 0.557318, 0.557318, 7.32994, 0.732994, 13:8:31.0, 15.2148, 0.760738, 12:25:23.0,  , 7.90579, 0.790579, 12:51:9.0, 14.6129, 0.730644, 12:12:58.0, 72, 57.7844, 0.802561, 9:28:6.0, 80, 68.3881, 0.854851, 9:40:0.0, 
20140815, 274, 195000, 195025, 508, 195009,  ,  , 713527, 648332, 14:29:30.0, 195000, up, 1, 14.2237, -1.67984, 1.67984, 1.67984, 8.08156, 0.808156, 13:29:59.0, 15.7221, 0.786103, 12:28:43.0,  , 7.90579, 0.790579, 12:51:9.0, 14.6129, 0.730644, 12:12:58.0, 73, 59.4642, 0.814579, 9:28:6.0, 80, 68.3881, 0.854851, 9:40:0.0, 
20140815, 533, 194875, 194900, 159, 194894,  ,  , 723001, 656578, 14:34:47.0, 194900, dn, -1, 14.2227, -0.018961, -0.018961,  , 8.08156, 0.808156, 13:29:59.0, 15.7221, 0.786103, 12:28:43.0, -0.018961, 6.84142, 0.684142, 13:0:5.0, 14.6036, 0.730179, 12:15:6.0, 73, 59.4642, 0.814579, 9:28:6.0, 81, 68.3691, 0.844063, 9:40:0.0, 
20140815, 124, 195000, 195025, 435, 195006,  ,  , 723932, 665560, 14:40:12.0, 195000, up, 1, 14.1817, -0.81938, 0.81938, 0.81938, 7.81321, 0.781321, 13:40:23.0, 15.7692, 0.788461, 12:29:43.0,  , 6.84142, 0.684142, 13:0:5.0, 14.6036, 0.730179, 12:15:6.0, 74, 60.2836, 0.814643, 9:28:6.0, 81, 68.3691, 0.844063, 9:40:0.0, 
20140815, 367, 195100, 195125, 473, 195111,  ,  , 726119, 669929, 14:42:1.0, 195100, up, 1, 14.1177, -1.28095, 1.28095, 1.28095, 8.17851, 0.817851, 13:52:6.0, 15.8175, 0.790875, 12:31:51.0,  , 6.84142, 0.684142, 13:0:5.0, 14.6036, 0.730179, 12:15:6.0, 75, 61.5646, 0.820861, 9:28:6.0, 81, 68.3691, 0.844063, 9:40:0.0, 
20140815, 540, 194975, 195000, 88, 194996,  ,  , 737922, 679697, 14:53:22.0, 195000, dn, -1, 14.1463, 0.57207, 0.57207,  , 8.17851, 0.817851, 13:52:6.0, 15.8175, 0.790875, 12:31:51.0, 0.57207, 7.7652, 0.77652, 13:3:12.0, 13.9072, 0.695358, 12:17:22.0, 75, 61.5646, 0.820861, 9:28:6.0, 82, 68.9412, 0.840746, 9:40:0.0, 
20140815, 591, 194875, 194900, 105, 194896,  ,  , 744884, 683723, 15:3:54.0, 194900, dn, -1, 14.1648, 0.370696, 0.370696,  , 8.17851, 0.817851, 13:52:6.0, 15.8175, 0.790875, 12:31:51.0, 0.370696, 6.87794, 0.687794, 13:4:42.0, 13.9782, 0.698912, 12:18:3.0, 75, 61.5646, 0.820861, 9:28:6.0, 83, 69.3119, 0.835083, 9:40:0.0, 
20140815, 520, 194775, 194800, 501, 194788,  ,  , 749978, 684165, 15:5:28.0, 194800, dn, -1, 14.2138, 0.978604, 0.978604,  , 8.17851, 0.817851, 13:52:6.0, 15.8175, 0.790875, 12:31:51.0, 0.978604, 7.94553, 0.794553, 13:23:57.0, 14.016, 0.700802, 12:19:30.0, 75, 61.5646, 0.820861, 9:28:6.0, 84, 70.2905, 0.836791, 9:40:0.0, 
20140815, 71, 194900, 194925, 307, 194905,  ,  , 750069, 687536, 15:6:48.0, 194900, up, 1, 14.1488, -1.30003, 1.30003, 1.30003, 8.82542, 0.882542, 14:1:6.0, 16.2341, 0.811706, 12:36:29.0,  , 7.94553, 0.794553, 13:23:57.0, 14.016, 0.700802, 12:19:30.0, 76, 62.8646, 0.827166, 9:28:6.0, 84, 70.2905, 0.836791, 9:40:0.0, 
20140815, 502, 194775, 194800, 9, 194800,  ,  , 757365, 697479, 15:23:38.0, 194800, dn, -1, 14.1679, 0.383267, 0.383267,  , 8.82542, 0.882542, 14:1:6.0, 16.2341, 0.811706, 12:36:29.0, 0.383267, 7.51614, 0.751614, 13:30:56.0, 13.5847, 0.679237, 12:22:26.0, 76, 62.8646, 0.827166, 9:28:6.0, 85, 70.6737, 0.831456, 9:40:0.0, 
20140815, 204, 194900, 194925, 657, 194906,  ,  , 757384, 712120, 15:32:31.0, 194900, up, 1, 14.1255, -0.848095, 0.848095, 0.848095, 9.49587, 0.949587, 14:13:7.0, 16.4259, 0.821294, 12:39:16.0,  , 7.51614, 0.751614, 13:30:56.0, 13.5847, 0.679237, 12:22:26.0, 77, 63.7127, 0.827437, 9:28:6.0, 85, 70.6737, 0.831456, 9:40:0.0, 
20140815, 97, 195000, 195025, 1000, 195002,  ,  , 757859, 717014, 15:33:30.0, 195000, up, 1, 14.0888, -0.734797, 0.734797, 0.734797, 9.97434, 0.997434, 14:22:58.0, 16.4009, 0.820043, 12:41:3.0,  , 7.51614, 0.751614, 13:30:56.0, 13.5847, 0.679237, 12:22:26.0, 78, 64.4475, 0.82625, 9:28:6.0, 85, 70.6737, 0.831456, 9:40:0.0, 
20140815, 25, 195100, 195125, 751, 195101,  ,  , 759925, 722957, 15:36:30.0, 195100, up, 1, 14.0574, -0.628335, 0.628335, 0.628335, 9.24679, 0.924679, 14:23:54.0, 16.177, 0.808848, 12:54:13.0,  , 7.51614, 0.751614, 13:30:56.0, 13.5847, 0.679237, 12:22:26.0, 79, 65.0758, 0.823745, 9:28:6.0, 85, 70.6737, 0.831456, 9:40:0.0, 
20140815, 315, 194975, 195000, 305, 194988,  ,  , 764899, 724603, 15:39:31.0, 195000, dn, -1, 14.0902, 0.655574, 0.655574,  , 9.24679, 0.924679, 14:23:54.0, 16.177, 0.808848, 12:54:13.0, 0.655574, 7.24119, 0.724119, 13:37:12.0, 13.1994, 0.659971, 12:31:13.0, 79, 65.0758, 0.823745, 9:28:6.0, 86, 71.3293, 0.829411, 9:40:0.0, 
20140815, 510, 195100, 195125, 684, 195111,  ,  , 767604, 741272, 15:50:10.0, 195100, up, 1, 13.9741, -2.32078, 2.32078, 2.32078, 11.1576, 1.11576, 14:25:1.0, 17.8851, 0.894255, 13:7:18.0,  , 7.24119, 0.724119, 13:37:12.0, 13.1994, 0.659971, 12:31:13.0, 80, 67.3966, 0.842457, 9:28:6.0, 86, 71.3293, 0.829411, 9:40:0.0, 
20140815, 428, 195200, 195225, 396, 195213,  ,  , 769040, 748653, 15:51:50.0, 195200, up, 1, 13.9409, -0.664683, 0.664683, 0.664683, 10.8342, 1.08342, 14:26:15.0, 18.2094, 0.910468, 13:8:21.0,  , 7.24119, 0.724119, 13:37:12.0, 13.1994, 0.659971, 12:31:13.0, 81, 68.0613, 0.840263, 9:28:6.0, 86, 71.3293, 0.829411, 9:40:0.0, 
20140815, 2, 195300, 195325, 1296, 195300,  ,  , 772762, 762511, 15:53:27.0, 195300, up, 1, 13.9264, -0.28956, 0.28956, 0.28956, 10.5664, 1.05664, 14:29:30.0, 17.8964, 0.894819, 13:8:31.0,  , 7.24119, 0.724119, 13:37:12.0, 13.1994, 0.659971, 12:31:13.0, 82, 68.3508, 0.833547, 9:28:6.0, 86, 71.3293, 0.829411, 9:40:0.0, 
20140815, 1057, 195175, 195200, 1, 195200,  ,  , 791459, 762678, 15:58:48.0, 195200, dn, -1, 13.9922, 1.3157, 1.3157,  , 10.5664, 1.05664, 14:29:30.0, 17.8964, 0.894819, 13:8:31.0, 1.3157, 7.58284, 0.758284, 13:50:20.0, 13.3846, 0.669231, 12:32:49.0, 82, 68.3508, 0.833547, 9:28:6.0, 87, 72.645, 0.835, 9:40:0.0, 
20140815, 120, 195300, 195300, 1462, 195300,  ,  , 809803, 824720, 16:15:1.0, 195300, up, 1, 13.9014, -1.81646, 1.81646, 1.81646, 10.7031, 1.07031, 14:40:12.0, 18.7846, 0.939231, 13:29:59.0,  , 7.58284, 0.758284, 13:50:20.0, 13.3846, 0.669231, 12:32:49.0, 83, 70.1673, 0.845389, 9:28:6.0, 87, 72.645, 0.835, 9:40:0.0, 
